title_id,title,genre,length,subscribers,rating,views,likes,status,daily_pass
2612,Little Rain,ROMANCE,20,349294,9.83,4996134,638610,HIATUS,FALSE
2611,My Roommate is a Gumiho,ROMANCE,82,285567,9.62,12538893,1698666,ONGOING,FALSE
2610,Epilogue,THRILLER,3,72426,9.48,1314380,172462,COMPLETED,TRUE
2608,The Savior's Time,THRILLER,53,127135,9.6,2085611,367895,ONGOING,FALSE
2607,Surviving Romance,HORROR,53,569588,9.8,23890131,3099564,ONGOING,FALSE
2606,My Gently Raised Beast,ROMANCE,53,1403091,9.81,54515973,5897646,ONGOING,FALSE
2605,If AI Ruled the World,SF,52,167813,9.7,4020548,579124,COMPLETED,FALSE
2578,Everything is Fine,HORROR,34,896835,9.75,41729560,3112881,HIATUS,FALSE
2577,The Hip Guy,COMEDY,53,228014,9.24,6700262,1059723,ONGOING,FALSE
2576,Rooftops & Roommates,COMEDY,87,417221,9.47,26129394,3299837,ONGOING,FALSE
2575,Dungeons & Artifacts,ACTION,53,436819,9.57,16338335,1732147,ONGOING,FALSE
2574,Return to Player,ACTION,54,507001,9.67,17510794,1914894,ONGOING,FALSE
2565,The Golden Spoon,DRAMA,6,56838,9.15,2372773,293243,COMPLETED,TRUE
2564,Her Bucket List,ROMANCE,7,322300,9.7,9221478,1104494,COMPLETED,TRUE
2563,This Magical Moment,SUPERNATURAL,9,149161,9.44,3703610,556382,COMPLETED,TRUE
2559,The Girl Who Sees Smells ,FANTASY,14,152874,9.31,4382335,625593,COMPLETED,TRUE
2546,The Wendybird,FANTASY,56,173287,8.89,4233765,784611,COMPLETED,FALSE
2534,Shotgun Boy,THRILLER,57,813040,9.82,30132714,3273032,ONGOING,FALSE
2533,To You Who Swallowed a Star,ROMANCE,59,460099,9.51,18080361,2658514,ONGOING,FALSE
2532,Stagtown,HORROR,57,218987,9.81,7244117,1443649,HIATUS,FALSE
2529,Devilish Romance,SUPERNATURAL,58,437649,9.51,13008769,1746024,ONGOING,FALSE
2527,Raven Saga,FANTASY,58,215555,9.77,7115863,1389455,ONGOING,FALSE
2522,The Prince of Southland,ROMANCE,52,313448,9.67,13676187,1558991,HIATUS,FALSE
2521,Act Like You Love Me!,ROMANCE,57,796754,9.79,31846650,4143003,ONGOING,FALSE
2515,Locker & Opener,MYSTERY,59,158795,9.55,2817047,461679,ONGOING,FALSE
2510,Neon Revenge,ACTION,38,353930,9.66,9829605,1489263,ONGOING,FALSE
2509,Seasons of Blossom,ROMANCE,79,743823,9.87,38829159,4954121,ONGOING,FALSE
2508,She Would Never Know,ROMANCE,5,406560,9.13,12739376,1553120,COMPLETED,TRUE
2507,The Strongest Florist,ACTION,58,485928,9.82,20320629,2900553,ONGOING,FALSE
2506,Taste of Illness,DRAMA,3,155889,9.83,3162451,547322,COMPLETED,TRUE
2505,Dark Mortal,DRAMA,10,220028,9.78,9726855,1119762,COMPLETED,TRUE
2504,Beyond Virtual,DRAMA,50,166063,9.18,3078223,445638,ONGOING,FALSE
2503,Dear X,THRILLER,7,221541,9.55,6283772,701326,COMPLETED,TRUE
2480,Jungle Juice,ACTION,61,969900,9.79,43214831,4450244,ONGOING,FALSE
2479,ROB,FANTASY,28,56596,8.78,492535,62842,COMPLETED,FALSE
2471,Asterion,DRAMA,59,98077,9.02,1696971,361109,ONGOING,FALSE
2470,Delusion,THRILLER,7,251562,9.79,8525827,1050512,COMPLETED,TRUE
2467,There's Love Hidden in Lies,ROMANCE,62,281404,7.98,10248374,1272637,ONGOING,FALSE
2460,Deadlove,SLICE_OF_LIFE,45,81852,9.19,1994687,308685,HIATUS,FALSE
2448,The Newlywed Diary of a Witch and a Dragon,ROMANCE,64,809390,9.25,32507221,3956664,ONGOING,FALSE
2446,Jackson's Diary,SUPERNATURAL,57,734147,9.69,40576759,4656313,HIATUS,FALSE
2443,Men of the Harem,FANTASY,64,1213701,9.66,55008462,6446426,ONGOING,FALSE
2431,Spells From Hell,FANTASY,62,421656,9.54,13421083,2110159,HIATUS,FALSE
2410,Garden Club Detective Squad,MYSTERY,7,187932,9.75,5310909,998948,COMPLETED,TRUE
2409,The Advanced Player of the Tutorial Tower,ACTION,66,1196591,9.53,59701812,5175425,ONGOING,FALSE
2406,Romance 101,ROMANCE,104,536955,9.84,35179923,5677005,ONGOING,FALSE
2405,Like Wind on a Dry Branch,FANTASY,66,1217415,9.78,54950248,6100872,ONGOING,FALSE
2404,Mosquito Wars,SF,6,132223,9.61,5013250,554988,COMPLETED,TRUE
2403,FLOWAR,SF,5,83437,9.48,1874619,252095,COMPLETED,TRUE
2395,Secret Playlist,ROMANCE,69,611955,9.63,25551387,3446473,ONGOING,FALSE
2384,The Masked Fables,FANTASY,54,150376,9.43,3014668,526166,COMPLETED,FALSE
2383,Blades of Furry,ROMANCE,57,427380,9.6,25562547,2747163,ONGOING,FALSE
2348,Ghost Bats,SF,9,58566,9.17,752677,116342,COMPLETED,TRUE
2324,LoveBot,SF,53,334764,9.38,13609490,1699622,ONGOING,FALSE
2320,microHUNTER,ACTION,9,333976,9.52,20427435,3001951,COMPLETED,TRUE
2291,Falling in the Blue,SF,27,87422,9.31,922768,133031,COMPLETED,FALSE
2284,Andy Bass,COMEDY,65,170069,9.34,9468394,1359964,ONGOING,FALSE
2283,Fluidum,DRAMA,68,205405,9.04,9615166,1357634,ONGOING,FALSE
2282,The Red Hook: Blackout & PTSD,SUPER_HERO,39,19355,7.19,202575,20610,COMPLETED,FALSE
2277,Pyramid Game,DRAMA,61,220908,9.6,7775272,1335190,ONGOING,FALSE
